t,U,I
0,0.96,0.00096
0.001,0.92,0.00092
0.002,0.92,0.00092
0.003,0.96,0.00096
0.004,0.92,0.00092
0.005,0.92,0.00092
0.006,0.92,0.00092
0.007,0.92,0.00092
0.008,0.96,0.00096
0.009,0.92,0.00092
0.01,0.96,0.00096
0.011,0.92,0.00092
0.012,0.92,0.00092
0.013,0.92,0.00092
0.014,0.96,0.00096
0.015,0.96,0.00096
0.016,0.96,0.00096
0.017,0.92,0.00092
0.018,0.88,0.00088
0.019,0.96,0.00096
0.02,0.92,0.00092
0.021,0.88,0.00088
0.022,0.96,0.00096
0.023,0.92,0.00092
0.024,0.92,0.00092
0.025,0.92,0.00092
0.026,0.92,0.00092
0.027,0.96,0.00096
0.028,0.92,0.00092
0.029,0.92,0.00092
0.03,0.92,0.00092
0.031,0.96,0.00096
0.032,0.92,0.00092
0.033,0.96,0.00096
0.034,0.92,0.00092
0.035,0.96,0.00096
0.036,0.92,0.00092
0.037,0.92,0.00092
0.038,0.92,0.00092
0.039,0.92,0.00092
0.04,0.92,0.00092
0.041,0.96,0.00096
0.042,0.96,0.00096
0.043,0.92,0.00092
0.044,0.92,0.00092
0.045,0.96,0.00096
0.046,0.96,0.00096
0.047,0.92,0.00092
0.048,0.92,0.00092
0.049,0.96,0.00096
0.05,0.88,0.00088
0.051,0.92,0.00092
0.052,0.92,0.00092
0.053,0.92,0.00092
0.054,0.92,0.00092
0.055,0.92,0.00092
0.056,0.92,0.00092
0.057,0.92,0.00092
0.058,0.96,0.00096
0.059,0.96,0.00096
0.06,0.92,0.00092
0.061,0.96,0.00096
0.062,0.88,0.00088
0.063,0.88,0.00088
0.064,0.92,0.00092
0.065,1,0.001
0.066,0.96,0.00096
0.067,0.92,0.00092
0.068,0.96,0.00096
0.069,0.96,0.00096
0.07,0.92,0.00092
0.071,0.96,0.00096
0.072,0.96,0.00096
0.073,0.88,0.00088
0.074,0.92,0.00092
0.075,0.96,0.00096
0.076,0.92,0.00092
0.077,0.96,0.00096
0.078,0.96,0.00096
0.079,0.96,0.00096
0.08,0.92,0.00092
0.081,0.96,0.00096
0.082,0.96,0.00096
0.083,0.96,0.00096
0.084,1,0.001
0.085,0.92,0.00092
0.086,0.96,0.00096
0.087,0.92,0.00092
0.088,0.96,0.00096
0.089,0.92,0.00092
0.09,0.96,0.00096
0.091,0.96,0.00096
0.092,0.92,0.00092
0.093,0.96,0.00096
0.094,0.88,0.00088
0.095,0.88,0.00088
0.096,0.96,0.00096
0.097,0.96,0.00096
0.098,0.92,0.00092
0.099,0.96,0.00096
0.1,0.92,0.00092
0.101,0.92,0.00092
0.102,0.92,0.00092
0.103,0.92,0.00092
0.104,0.96,0.00096
0.105,0.96,0.00096
0.106,0.96,0.00096
0.107,0.92,0.00092
0.108,0.96,0.00096
0.109,0.96,0.00096
0.11,0.92,0.00092
0.111,0.96,0.00096
0.112,0.96,0.00096
0.113,0.92,0.00092
0.114,1.08,0.00108
0.115,1.2,0.0012
0.116,0.96,0.00096
0.117,1,0.001
0.118,1.52,0.00152
0.119,1,0.001
0.12,0.96,0.00096
0.121,1.08,0.00108
0.122,0.96,0.00096
0.123,1.16,0.00116
0.124,1.44,0.00144
0.125,0.96,0.00096
0.126,1,0.001
0.127,1.64,0.00164
0.128,1,0.001
0.129,1.4,0.0014
0.13,1,0.001
0.131,1.04,0.00104
0.132,1.28,0.00128
0.133,1.32,0.00132
0.134,0.96,0.00096
0.135,0.96,0.00096
0.136,0.96,0.00096
0.137,1.48,0.00148
0.138,1.44,0.00144
0.139,1.08,0.00108
0.14,1.64,0.00164
0.141,1.04,0.00104
0.142,1.52,0.00152
0.143,0.92,0.00092
0.144,0.92,0.00092
0.145,0.96,0.00096
0.146,0.92,0.00092
0.147,0.96,0.00096
0.148,0.92,0.00092
0.149,0.92,0.00092
0.15,0.96,0.00096
0.151,0.96,0.00096
0.152,0.92,0.00092
0.153,0.92,0.00092
0.154,0.92,0.00092
0.155,0.96,0.00096
0.156,0.92,0.00092
0.157,0.92,0.00092
0.158,0.96,0.00096
0.159,0.92,0.00092
0.16,0.92,0.00092
0.161,0.92,0.00092
0.162,0.88,0.00088
0.163,0.96,0.00096
0.164,0.92,0.00092
0.165,0.96,0.00096
0.166,0.92,0.00092
0.167,0.96,0.00096
0.168,0.96,0.00096
0.169,0.92,0.00092
0.17,0.96,0.00096
0.171,0.96,0.00096
0.172,0.96,0.00096
0.173,1.08,0.00108
0.174,2.32,0.00232
0.175,2.28,0.00228
0.176,2.32,0.00232
0.177,2.28,0.00228
0.178,2.32,0.00232
0.179,2.32,0.00232
0.18,2.28,0.00228
0.181,2.32,0.00232
0.182,2.32,0.00232
0.183,2.32,0.00232
0.184,2.32,0.00232
0.185,2.28,0.00228
0.186,2.32,0.00232
0.187,2.32,0.00232
0.188,2.28,0.00228
0.189,2.32,0.00232
0.19,2.32,0.00232
0.191,2.32,0.00232
0.192,2.32,0.00232
0.193,2.32,0.00232
0.194,2.32,0.00232
0.195,2.32,0.00232
0.196,2.32,0.00232
0.197,2.28,0.00228
0.198,2.32,0.00232
0.199,2.28,0.00228
0.2,2.32,0.00232
0.201,2.32,0.00232
0.202,2.32,0.00232
0.203,2.28,0.00228
0.204,2.32,0.00232
0.205,2.28,0.00228
0.206,2.32,0.00232
0.207,2.28,0.00228
0.208,2.32,0.00232
0.209,2.32,0.00232
0.21,2.28,0.00228
0.211,2.32,0.00232
0.212,2.28,0.00228
0.213,2.28,0.00228
0.214,2.32,0.00232
0.215,2.32,0.00232
0.216,2.28,0.00228
0.217,2.32,0.00232
0.218,2.32,0.00232
0.219,2.32,0.00232
0.22,2.32,0.00232
0.221,2.32,0.00232
0.222,2.28,0.00228
0.223,2.28,0.00228
0.224,2.32,0.00232
0.225,0.96,0.00096
0.226,0.92,0.00092
0.227,0.96,0.00096
0.228,0.92,0.00092
0.229,0.96,0.00096
0.23,0.96,0.00096
0.231,0.96,0.00096
0.232,0.96,0.00096
0.233,0.96,0.00096
0.234,0.96,0.00096
0.235,0.88,0.00088
0.236,0.88,0.00088
0.237,0.92,0.00092
0.238,0.96,0.00096
0.239,0.92,0.00092
0.24,0.92,0.00092
0.241,0.96,0.00096
0.242,0.92,0.00092
0.243,0.96,0.00096
0.244,0.96,0.00096
0.245,0.96,0.00096
0.246,0.96,0.00096
0.247,0.96,0.00096
0.248,0.92,0.00092
0.249,0.92,0.00092
0.25,0.88,0.00088
0.251,0.96,0.00096
0.252,0.92,0.00092
0.253,0.88,0.00088
0.254,0.96,0.00096
0.255,0.96,0.00096
0.256,0.96,0.00096
0.257,0.96,0.00096
0.258,0.92,0.00092
0.259,0.92,0.00092
0.26,0.96,0.00096
0.261,0.92,0.00092
0.262,0.92,0.00092
0.263,0.96,0.00096
0.264,0.92,0.00092
0.265,0.96,0.00096
0.266,0.96,0.00096
0.267,0.96,0.00096
0.268,0.92,0.00092
0.269,0.92,0.00092
0.27,0.92,0.00092
0.271,0.92,0.00092
0.272,0.92,0.00092
0.273,0.96,0.00096
0.274,0.96,0.00096
0.275,0.96,0.00096
0.276,0.92,0.00092
0.277,0.96,0.00096
0.278,0.92,0.00092
0.279,0.92,0.00092
0.28,0.88,0.00088
0.281,0.92,0.00092
0.282,0.96,0.00096
0.283,0.96,0.00096
0.284,0.92,0.00092
0.285,0.96,0.00096
0.286,0.92,0.00092
0.287,0.92,0.00092
0.288,0.92,0.00092
0.289,0.96,0.00096
0.29,0.92,0.00092
0.291,0.92,0.00092
0.292,0.92,0.00092
0.293,0.96,0.00096
0.294,0.92,0.00092
0.295,0.92,0.00092
0.296,0.88,0.00088
0.297,0.96,0.00096
0.298,0.96,0.00096
0.299,0.96,0.00096
0.3,0.96,0.00096
0.301,0.92,0.00092
0.302,0.96,0.00096
0.303,0.92,0.00092
0.304,0.96,0.00096
0.305,0.96,0.00096
0.306,0.96,0.00096
0.307,0.92,0.00092
0.308,0.92,0.00092
0.309,0.96,0.00096
0.31,0.92,0.00092
0.311,0.88,0.00088
0.312,0.92,0.00092
0.313,0.92,0.00092
0.314,0.88,0.00088
0.315,0.92,0.00092
0.316,0.96,0.00096
0.317,0.92,0.00092
0.318,0.88,0.00088
0.319,0.96,0.00096
0.32,0.88,0.00088
0.321,0.92,0.00092
0.322,0.88,0.00088
0.323,0.92,0.00092
0.324,0.96,0.00096
0.325,0.96,0.00096
0.326,0.96,0.00096
0.327,0.92,0.00092
0.328,0.92,0.00092
0.329,0.88,0.00088
0.33,0.92,0.00092
0.331,0.88,0.00088
0.332,0.92,0.00092
0.333,0.92,0.00092
0.334,0.96,0.00096
0.335,0.96,0.00096
0.336,0.88,0.00088
0.337,0.92,0.00092
0.338,0.96,0.00096
0.339,0.92,0.00092
0.34,0.88,0.00088
0.341,0.92,0.00092
0.342,0.92,0.00092
0.343,1,0.001
0.344,0.92,0.00092
0.345,0.96,0.00096
0.346,0.92,0.00092
0.347,0.96,0.00096
0.348,0.88,0.00088
0.349,0.96,0.00096
0.35,0.92,0.00092
0.351,0.92,0.00092
0.352,0.96,0.00096
0.353,0.92,0.00092
0.354,0.92,0.00092
0.355,0.92,0.00092
0.356,0.92,0.00092
0.357,0.92,0.00092
0.358,0.96,0.00096
0.359,0.92,0.00092
0.36,0.92,0.00092
0.361,0.92,0.00092
0.362,0.92,0.00092
0.363,0.92,0.00092
0.364,0.92,0.00092
0.365,0.88,0.00088
0.366,0.92,0.00092
0.367,0.92,0.00092
0.368,0.96,0.00096
0.369,0.92,0.00092
0.37,0.92,0.00092
0.371,0.92,0.00092
0.372,0.92,0.00092
0.373,0.96,0.00096
0.374,0.92,0.00092
0.375,0.92,0.00092
0.376,0.92,0.00092
0.377,0.92,0.00092
0.378,0.92,0.00092
0.379,0.96,0.00096
0.38,0.96,0.00096
0.381,0.96,0.00096
0.382,0.92,0.00092
0.383,0.96,0.00096
0.384,0.96,0.00096
0.385,0.92,0.00092
0.386,0.92,0.00092
0.387,0.96,0.00096
0.388,0.92,0.00092
0.389,0.92,0.00092
